Unnamed: 0,regu1,count2,count3,count4,count5,freqavg0,freqavg2,freqavg3,freqavg4,freqavg5,freqstd2,freqstd3,freqstd4,freqstd5,firdis,firshan,lastdis,lastshan,label
133819,0.8186666666666663,10.0,9.0,9.0,0.0,0.0,13.1,4.333333333333333,5.0,0.0,3.83275357934736,3.39934634239519,2.905932629027116,0.0,7.6960000000000015,0.9670149581606772,0.887,0.983082165824546,1.0
96720,0.5879999999999994,10.0,9.0,9.0,4.0,0.0,7.5,10.555555555555557,5.333333333333333,4.75,2.5787593916455256,4.901498888913951,3.2998316455372216,2.5860201081971503,4.2010000000000005,0.9813211646788248,7.522,0.953639818569834,2.0
93925,0.7919999999999996,10.0,2.0,8.0,9.0,0.0,3.4,10.5,4.25,6.1111111111111125,1.1135528725660044,3.5,1.713913650100261,2.3306863292670035,7.8039999999999985,0.9530884645030891,9.55,0.7724544250349927,0.0
187317,0.6499999999999996,9.0,0.0,8.0,1.0,0.0,10.888888888888893,0.0,9.625,9.0,2.3778816176702997,0.0,3.672107705392096,0.0,2.475,0.9802336417282052,3.471,0.9802927325583888,0.0
137619,0.5999999999999995,8.0,8.0,3.0,0.0,0.0,4.875,9.125,7.333333333333332,0.0,3.2572035551988456,7.2186823589904545,3.2998316455372216,0.0,3.5980000000000003,0.9823655572267956,4.292,0.9974508336919196,1.0
59849,0.9199999999999998,9.0,0.0,10.0,0.0,0.0,7.8888888888888875,0.0,2.6,0.0,2.078698548207745,0.0,1.0198039027185568,0.0,6.01,0.8380679787114259,5.845,0.9133955744641746,1.0
87675,0.7010333416583414,7.0,8.0,5.0,3.0,3.333333333333333,23.57142857142857,33.25,13.6,2.333333333333333,9.131689608283935,11.486405007660144,10.05186549850325,0.4714045207910317,5.896,0.9710162300021208,6.37,0.9801905592629656,0.0
186627,0.7894693532206433,6.0,6.0,0.0,0.0,0.0,6.166666666666668,3.1666666666666665,0.0,0.0,1.0671873729054748,1.5723301886761003,0.0,0.0,8.022,0.901821258126858,7.9860000000000015,0.9191756913840256,0.0
126951,0.5406623554771701,8.0,10.0,8.0,0.0,0.0,12.125,13.7,5.0,0.0,3.2185982973959333,6.1326992425847875,3.1622776601683795,0.0,7.166,0.9754059844999152,6.256,0.993147493418808,1.0
98448,0.4416190476190474,5.0,10.0,5.0,1.0,5.0,5.0,10.8,3.2,6.0,3.7416573867739413,6.193545026880809,2.1354156504062622,0.0,8.08,0.9430884210744964,8.904,0.8873898116883975,0.0
44190,0.593268176268176,10.0,10.0,8.0,3.0,0.0,7.4,10.7,4.0,6.0,4.586937976471886,4.920365840057018,2.9154759474226504,0.8164965809277259,3.465,0.9735663162147437,2.7710000000000004,0.9956656300853092,2.0
141754,0.8639999999999998,9.0,3.0,10.0,0.0,0.0,9.555555555555557,12.666666666666664,3.7,0.0,1.5713484026367723,6.649979114420002,3.551056180912941,0.0,2.24,0.9701515524405392,7.6960000000000015,0.9670149581606772,1.0
72484,0.7944444444444447,6.0,2.0,6.0,2.0,5.0,10.333333333333334,6.0,8.166666666666666,1.0,1.4907119849998598,2.0,3.7155828016013257,0.0,6.6160000000000005,0.9592544256783172,4.793,0.9901332123844659,0.0
118269,0.7274603174603168,10.0,8.0,7.0,5.0,0.0,10.8,8.0,8.285714285714286,9.6,4.093897898091743,7.615773105863909,2.602981022612657,2.8705400188814645,5.485,0.9791898066804484,5.485,0.9791898066804484,1.0
201430,0.7430803571428568,5.0,8.0,5.0,2.0,0.0,9.0,5.0,5.4,6.5,5.059644256269407,3.3166247903554,2.8705400188814645,1.5,10.505999999999998,0.9500991432283166,10.853,0.9384790031859572,0.0
148915,0.758333333333333,8.0,5.0,4.0,1.0,0.0,2.75,12.6,9.0,11.0,0.82915619758885,13.41044369139217,6.2048368229954285,0.0,3.485,0.9957773694532108,3.668,0.9996563133278504,1.0
168890,0.7680952380952378,10.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,3.8223029707232783,0.0,0.0,0.0,5.625,0.9595663907761413,2.085,0.9861942126335824,2.0
116337,0.9145833333333326,9.0,9.0,0.0,0.0,0.0,7.1111111111111125,3.6666666666666665,0.0,0.0,7.563721077830004,3.9440531887330765,0.0,0.0,8.63,0.8882969562945644,7.978,0.9063289737552356,0.0
90719,0.8775510204081635,5.0,7.0,6.0,0.0,0.0,21.2,11.714285714285715,10.666666666666666,0.0,2.1354156504062622,4.742340763627952,1.7950549357115009,0.0,2.263,0.9891569990150886,2.263,0.9891569990150886,1.0
93853,0.5435195681511467,0.0,9.0,9.0,2.0,0.0,0.0,3.888888888888889,2.7777777777777777,1.0,0.0,5.704665623552637,4.340449996583248,0.0,9.55,0.7724544250349927,9.55,0.7724544250349927,0.0
8587,0.7189235209235204,10.0,10.0,6.0,3.0,0.0,14.4,13.4,3.5,5.333333333333333,4.340506882842141,12.839003076563227,0.957427107756338,6.128258770283412,5.197,0.9867635613117124,3.962,0.9927654667899548,0.0
3592,0.4342686144265089,10.0,9.0,6.0,0.0,0.0,4.2,2.4444444444444446,5.0,0.0,2.181742422927143,2.7125679146074893,7.637626158259732,0.0,13.695,0.8246642857361053,13.685,0.8290376776926078,0.0
24555,0.7759999999999998,10.0,4.0,7.0,0.0,0.0,7.9,10.25,4.428571428571429,0.0,6.331666447310692,6.533567172685991,4.403152859263555,0.0,6.529,0.9868635538320132,6.667999999999998,0.98625662976354,1.0
197323,0.70147619047619,10.0,10.0,7.0,0.0,0.0,14.2,14.6,4.857142857142857,0.0,12.456323695216017,8.380930735902785,3.6421567954234173,0.0,16.653,0.9974320795490288,16.653,0.9974320795490288,1.0
25678,0.7234567901234564,10.0,6.0,6.0,1.0,0.0,9.6,12.166666666666664,5.333333333333333,3.0,9.810198774744576,8.70663859107265,2.2852182001336816,0.0,6.65,0.9734036076623952,6.532,0.9769757508510571,0.0
137165,0.9026666666666658,10.0,1.0,10.0,0.0,0.0,6.8,11.0,5.8,0.0,1.4,0.0,1.16619037896906,0.0,1.986,0.9888906559680288,1.006,0.9822025121694762,1.0
24646,0.6570684523809525,6.0,8.0,7.0,1.0,3.5,4.5,10.75,7.7142857142857135,4.0,3.304037933599835,8.0583807306431,4.365916225696036,0.0,1.957,0.9725447806055094,2.714,0.9896473684133132,1.0
26316,0.6591158841158837,10.0,0.0,10.0,0.0,0.0,2.3,0.0,2.1,0.0,1.4177446878757831,0.0,0.9433981132056604,0.0,14.998,0.992381769484392,15.017,0.9931766719400243,1.0
131654,0.8348888888888889,10.0,10.0,9.0,2.0,0.0,7.8,7.3,2.7777777777777777,1.0,5.211525688318153,4.382921400162226,1.3966450099973926,0.0,1.652,0.9827573650275871,0.898,0.9810623618780392,1.0
187760,0.7199999999999998,7.0,6.0,9.0,0.0,6.0,5.7142857142857135,5.666666666666668,8.777777777777779,0.0,1.9059520091609048,2.748737083745107,2.7397395568751013,0.0,4.921,0.9941056883025704,4.817,0.9942129464625101,2.0
151973,0.6240952380952376,10.0,10.0,7.0,1.0,0.0,3.4,3.9,6.142857142857142,14.0,1.4966629547095764,1.7578395831246951,3.3135467156409137,0.0,4.414,0.9791372261763944,4.195,0.9835554115997088,1.0
