channelcode,carnum1,carnum2,type,time,lane,dir,LNG,LAT
AjQbFdt8A1B7K06Q5HNHMC,’„G,B20A94D21F9238FE23ECDE42EF83B256,2,2019/12/20 0:00,1,3,,
AjQbFdt8A1B9BQBJC3LORN,’„G,64E263EFC9DB3947413101A2DD898915,2,2019/12/20 0:00,6,1,,
AjQbFdt8A1B5KAV1D0GSP1,’„G,CD9C182113CFD3FEFECEAC29CF8E62F2,2,2019/12/20 0:00,3,0,120.11,29.3137
AjQbFdt8A1B7K06Q3C13S9,’„G,867EA43F402B06A166A030824FA22C9C,2,2019/12/20 0:00,3,2,,
AjQbFdt8B1B86TBMN5MFR3,’„G,CBBC439C8BF01D695D3D660EC462B9E2,2,2019/12/20 0:00,1,3,120.063,29.2803
AjQbFdt8B1B5K31KP4G2BE,’„G,B5F130200F44A7334827E113EF3232F6,2,2019/12/20 0:00,1,2,120.091,29.2997
AjQbFdt8A1B5KAV1ATNPE9,’„G,1CD4299060B00522C24128BE8894676B,2,2019/12/20 0:00,2,0,120.098,29.2925
AjQbFdt8A1BDJ7F0UKTMJK,’„M,DC625A59C2B3807F13AD868D481552FC,2,2019/12/20 0:00,3,0,,
AjQbFdt8B1B86TBMKGP50F,’„G,67ABFCE518AD0F0FC8AB1F5922161C34,2,2019/12/20 0:00,2,0,,
AjQbFdt8A1B9BQBJBVRGHT,’„G,D21D6DED4C1E2F5FF055BDF65F1C313E,2,2019/12/20 0:00,2,3,,
AjQbFdt8B1BLO8VTFTMJ92,’„G,CB122023597EFA6CFE925F7354014124,2,2019/12/20 0:00,2,2,120.092,29.2899
AjQbFdt8A1BKM7BGUF1OK0,’„G,390D1059710A914FBBD4F25134B2E79F,52,2019/12/20 0:00,3,3,,
AjQbFdt8B1B86TBML9JNGN,’„G,A421361DE4AF1BBA7B419499E26E322A,2,2019/12/20 0:00,1,1,120.085,29.3186
AjQbFdt8B1BLO8VTGRA11M,’„G,B5EE989A32918D09BAB826CA9BEDAAB4,2,2019/12/20 0:00,3,3,,
