carnum,ft1,lt1,ft2,lt2,ft4,lt4
’„G9AFC26B2CE9A5AD3F04636D03CEC5C8A,7,21,7,18,8.0,16.0
’„G80F1818A782DF94374C2649265F93C5D,7,16,7,17,7.0,18.0
’„G0502ED422E5547C0E76D10ED9D7EE6EE,9,21,12,16,9.0,20.0
’„G1BDE727440913B67B8D42401CE991F00,8,16,8,17,8.0,19.0
’„G1EA93392E98BFC31E85BF73364067C0F,7,16,8,16,7.0,18.0
’„G2473119446A4133942347F00670D799E,6,20,16,16,5.0,20.0
’„G2D1454CEC52F1BD15385746B22A3BD31,7,18,7,8,7.0,18.0
’„G32ABFFACCEB97595CA94F7121BAC3B04,7,18,6,7,7.0,8.0
’„G39FBF8564F351A2CA14F0A29317FF05A,8,22,8,17,8.0,18.0
’„G40C48F3122D02AA5EC1B13A62DBF3171,7,19,7,16,,
’„G4C06583EDC9F0B85434C7FA51A3925FF,7,16,8,15,8.0,17.0
’„G5FC4302E0991663D2736A83940ACDF31,7,17,7,12,7.0,16.0
’„G690EB4B5B09B3D60990454404A66B537,7,16,7,17,,
’„G759014F383AE7B343F88793DDF4D113A,7,19,8,17,,
’„G8E3815B83E8448195927423FB6AE9DBE,6,20,7,15,5.0,16.0
’„G8E446C5367B2A170AB4B78228970294F,7,15,7,17,6.0,17.0
’„G940CC7E3D710E5976D222B56F6501607,7,20,14,18,15.0,19.0
’„GA6C8E167459245D162DDA45699AABB10,6,16,7,16,,
’„GB5EE835687E5BCFD052E4C5656DD38E8,6,19,7,17,7.0,7.0
’„GC581172024DD33C03AB694E0B079BECD,8,19,7,16,6.0,17.0
’„GD7EA3192B0D8025F06C6ED28D615BCC4,7,15,7,14,6.0,16.0
’„GE56420560D11C8E2B7F1E1B1E1388F48,8,15,7,16,,
’„GE919AB9D4D5B8F9B13B4AD388160C38C,6,19,6,17,7.0,18.0
’„GF896FFD69909A8B70189B5D5A4DD4D71,8,19,9,15,9.0,19.0
’„G2395F4BD1D437A0CB8317BE048FE2A0B,6,17,7,18,6.0,19.0
À’AE6C96F8C7020A102C52BAFF0B924B203,9,23,11,17,11.0,21.0
’„G41FECAD9BD41888D0D97B377040CD421,7,17,7,17,7.0,17.0
